 -2.991000  0.00000100  0.00000100************  0.00000000
 -2.973000  0.00000100  0.00000100************  0.00000000
 -1.137000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.119000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.101000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.083000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.065000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.047000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.029000  2.00000000  2.00000000  0.00000000  0.00000000
 -1.011000  2.00000000  2.00000000  0.00000000  0.00000000
 -0.993000  1.80000007  1.80000007  0.00000000  0.00000000
 -0.975000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.957000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.939000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.921000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.903000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.885000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.867000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.849000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.831000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.813000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.795000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.777000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.759000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.741000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.723000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.705000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.687000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.669000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.651000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.633000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.615000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.597000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.579000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.561000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.543000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.525000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.507000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.489000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.471000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.453000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.435000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.417000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.399000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.381000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.363000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.345000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.327000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.309000  0.00000100  0.00000100  0.00000000  0.00000000
 -0.291000  0.00000100  0.00000100  0.00000000  0.00000000
